,text,tag
20392,"조선초만 해도 백성의 풍속은 남녀 모두가 자유로워서 사대부 집안의 부녀가 권문을 출입하거나 부녀가 길거리에서 구경하거나 사찰을 왕래하는데 제한이 없었으며, 남녀가 함께 냇가에서 목욕하는 일도 허다했다.",BIOOOOOOBIOOBIOOBIOBIOOBIOOOOBIIOBIOOBIOOBIOOBIOOOOBIOOBIIOOOBIOOOOBIOOBIOOOOBIOOOOOOOOBIOOOOOBIOOOBIOOOBOOOOOOO
61877,"남쪽 내부에서도,",BIOBIOOOO
74126,"""왜 그게 웃기는 소리라고 생각하세요.""",OOOOOOOOOOBIOOOBIOOOOO
32293,국회의원이라는 막중한 임무를 바로 수행할 만한 지식과 경륜을 갖추었는지를 따져 보아야 한다.,BIIIOOOOOOOOBIOOOOOBIOOOOOBIOOBIOOOOOOOOOOOOOOOOOOO
14759,다른 산업에 비해 특수하게 불리한 산업이다.,OOOBIOOOOOBIOOOOOOOBIOOO
19702,── 저는 현재 Y중학교에서 교편을 잡고 있는 교사입니다.,OOOOOOOOOOBIIOOOBIOOOOOOOOBIOOOO
5641,찾고 싶어요.,OOOOOOO
30576,길가에 쓰러져 있는 것을 지나던 사람이 업어서 집에까지 데려다 주었던 것이다.,BIOOOOOOOOOOOOOOOOBIOOOOOOBOOOOOOOOOOOOOOOO
33630,"그리고 시간제 가정교사를 하였는데, 한 친구는 지금 미국 L.A.에서 보석상으로 부자가 되었고 한 친구는 인천에서 교감을 하다가 장학사를 하고 있다.",OOOOBIOOBIIIOOOOOOOOOOBIOOOOOBIOOOOOOOOBIIOOOBIOOOOOOOOBIOOBIOOOBIOOOOOOBIIOOOOOOOO
47507,작가는 그저 자신이 관찰할 대상을 어떻게 하면 실감나게 표현할 수 있을까 하는 일에 신경을 집중시키고 있으면 좋은 묘사문을 찾아낼 수 있을 것이다.,BIOOOOOBIOOBIOOBIOOOOOOOOOBIOOOBIOOOOOOOOOOOBOOBIOOBIOOOOOOOOOOOBIOOOOOOOOOOOOOOOO
49485,"소음이 있다고 해서, 듣기를 포기하기보다는 더욱 정신을 집중하여 듣는 훈련이 필요하다.",BIOOOOOOOOOOOOOOBIOOOOOOOOOBIOOBIOOOOOOBIOOBIOOO
70982,돈 좀 있다고 유세하는 건지 뭔지….,BOOOOOOOBIOOOOOOOOOO
68173,"몇 줄 만들고 뜯어고치고 그리고 다시 뜯어고치고, 그 과정을 거치는 데 시간이 오래 걸린다.",OOBOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOBIOOOOOOOOO
70172,이제 정부의 단호한 ‘개혁’을 두고 항간에서는 ‘혁명’이라고까지 말한다.,OOOBIOOOOOOOBIOOOOOOBIOOOOOBIOOOOOOOBOOO
7592,"""죽음이여, 거들먹대지 말라!""",OBIOOOOOOOOOOOOOO
74096,"통증은 한 곳 혹은 여러 곳에서 나타날 수 있으며 흔히 쑤시고, 쥐어짜듯이, 타는 듯이 그리고 쇼크처럼 온다.",BIOOOOBOOOOOOOBOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOO
66019,두 문장은 사실상 동일한 내용을 담고 있다.,OOBIOOBIOOOOOOBIOOOOOOOO
21750,만일 절제할 수 없거든 혼인하라.,BIOBIOOOOOOOOBIOOO
42824,"""바깥 세상이 보이지 않는다구?"" 이씨가 전혀 다른 상념에 사로잡힌 사람처럼 멍하니 되물었다.",OBIOBIOOOOOOOOOOOOOBOOOOOOOOOBIOOOOOOOBIOOOOOOOOOOOO
27107,"정월대보름에는 오곡밥과 약밥, 음력 4월에는 찹쌀가루를 반죽한 화전, 5월 단오에는 수리취떡, 8월 한가위에는 햅쌀밥과 떡, 신도주 등을 만들어 먹었다.",BIIOOOOOBIIOOBIOOBIOOOOOOBIIIOOBIOOBIOOOOOBIOOOBIIIOOOOOBIIOOOBIIOOBOOBIIOOOOOOOOOOOO
9872,이와 관련해 전씨와 이회성씨가 만난 이유와 이 후보 아들 정연씨의 신검부표 파기시점 등 몇가지 쟁점이 다시 등장하고 있다.,OOOBIOOBOOOBIIOOOOOOBIOOOOBIOBIOBIOOOBIIIOBIOOOOOOOOOBIOOOOOBIOOOOOO
41079,그깟 도둑놈들의 말 따위에 눈 하나 깜짝할 줄 알고!,OOOBIIOOOBOOOOOBOOOOOOOOOOOOO
22924,카드가 그냥 저절로 날라왔더라?,BIOOOOOOOOOOOOOOO
74462,그럼 아예 외출해도 안 돼요?,OOOOOOBIOOOOOOOO
56572,"원터부락 미륵당으로부터 간선도로를 따라 남쪽으로 약 500ｍ 지점에 고속도로로부터 약 10ｍ 떨어져 동서 450㎝, 남북 500㎝, 높이 150㎝의 괴석이 있는데, 바닥이 비교적 평탄하여 받침돌이 없는 무지석식 지석묘이다.",BIOOOBIIOOOOOBIOOOOOOOBIOOOOOOOOOOBIOOBIIIOOOOOOOOOOOOOOBIOOOOOOOBIOOOOOOOBIOOOOOOOBIOOOOOOOBIOOBIOOBIOOOBIIOOOOOOBIIOBIIOOO
6759,"민주당이 6.13 지방선거에서 참패한 뒤 그 책임 소재를 둘러싸고 논란을 벌이고 있는 가운데, 서울시장 선거에서 떨어진 김민석 전 의원이 유일하게 ""내 탓이오""를 선언하고 나서 눈길을 끌었다.",BIIOOOOOOOBIOOOOOBIOOBOOOBIOBIOOOOOOOBIOOOOOOOOOBIIOOBIOOOBIOOOOOOOBIIOOOBIOOBIOOOOOOBOOOOOBIOOOOOOBIOOOOOO
50353,상사가 부하에게 하는 지시도 마찬가지다.,BIOOBIOOOOOOBIOOBIIIOO
44436,그의 침대를 빼앗은 그녀는 새근새근 잘도 잤지만 그는 오래도록 잠들 수 없었다.,OOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
14070,선생님이 제 손을 잡고 등대까지 걸어간 그때 말인가요?,BIOOOOOBOOOOOBIOOOOOOOBIOBOOOO
7666,고속정은 교전 직후 다른 고속정에 의해 예인되던 도중 침몰했다고 군당국은 밝혔다.,BIIOOBIOBIOOOOBIIOOOOOBIOOOBIOBIOOOOBIOOOOOOO
44916,이와 아울러 대학은 대학생만으로 이루어진 제도도 아니고 사회에서 완전히 절연된 상아탑만도 아니기 때문에 대학신문은 대학생만을 소구대상으로 하는 '대학생언론'보다는 대학 구성원 모두를 포괄하는 대학공동체를 위한 진정한 의미의 '대학신문'을 지향해야 할 것이다.,OOOOOOOBIOOBIOOOOOOOOOOBIOOOOOOBIOOOOOOOBIOOBIIOOOOOOOOOOOBIOOOOBIOOOOBIOOOOOOOOOBIOOOOOOOOBIOBIIOBIOOBIOOOBIIOOOOOOOOOOOBIOOBIIOOOOOBIOOOOOOOOO
44306,"""형식에서 감추어진 영혼의 내용을 읽는다""고 할 때 그 형식은 물론 이중적(장르적 성격)인 그것이다.",OBIOOOOOOOOBIOOBIOOOOOOOOOOBOOOBIOOOOOBIBIOOOOBIOOOOOOOO
3504,정작 주인은 쪼그린 채 불편한 잠을 자는데 그 자리를 강탈하다니.,BIOBIOOOOOOOOBIOOBOOOOOOOOBIOOBIOOOO
55344,오늘은 어버이날이라고 아침부터 일찍 일어나서 어머니를 도와 드리려고 마음먹고 어제 저녁엔 일찍 잤다.,BIOOBIIIOOOOBIOOOOOOOOOOOBIIOOOOOOOOOOOOOOOBIOBIOOOOOOOO
20754,하나 물어 볼게.,OOOOOOOOO
72594,목자의 막대기에 따라 우르르 몰려다니는 유순한 양떼를 사육하는 곳도 아니며 말 잘 듣고 공부 잘 하는 착한 학생만 만드는 곳도 아니다.,BIOOBIIOOOOOOOOOOOOOOOOOOOBOOOBIOOOBOOOOOOBOOOOOOBIOOOOOOOOOBIOOOOOOBOOOOOO
63509,"그때의 감성적인 이미지로부터 극단적인 자기 부정을 거치지 않고 철저히 깨지지 못함과, 보다 성숙한 소통의 광장을 향해 현실과 우둔의 벽들을 뚫고 나가지 못함이 가슴이 무너질 듯 아픈 것이다.",BIOOBIOOOBIIOOOOBIOOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOBIOOBIOOBIOOOOOBIOOBIOOBOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOO
56990,아 이거 헤리티지 사천이지.,OOOOOBIIIOOOOOO
74843,그 또한 비상한 호기심에 이끌려 걸음을 재촉했다.,OOOOOBIOOBIIOOOOOOBIOOBIOOO
31155,"이들의 판단이 얼마만큼 정확한가, 시기는 적절한가 등에 따라 경제는 활짝 피기도 하고 시들기도 한다.",OOOOBIOOBIOOOBIOOOOBIOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOOO
24256,"""그런데 모시고 있는 상전의 택호는 뉘시우? """,OOOOOOOOOOOOBIOOBIOOOOOOOO
60790,"유니폼을 잡고 늘어졌는데 계속적으로 그걸 보고 있어요,",BIIOOOOOOOOOOOBIOOOOOOOOOOOOOO
52266,지금 현재 한 한 가지 알려진 문제점은?,BIOBIOOOOOOOOOOOOBIIOO
69983,하지만 제 보기에는 아마 서하총 묘도의 남쪽인 것 같아요.,OOOOOOOOOOOOOOBIIOBIOOBIOOOOOOOO
1208,그러나 우리의 경험상 이와 같은 효과가 바로 구현되지 않고 오히려 반대 현상이 나타나는 것으로 보고되었다.,OOOOOOOOBIOOOOOOOOBIOOOOOBIOOOOOOOOOOBIOBIOOOOOOOOOOOBIOOOO
70318,'시마스터'는 신사복에 어울리는 품위있는 디자인이면서도 격렬한 액션에 적합한 튼튼하고 강력한 스포츠 시계.,OBIIIOOOBIIOOOOOOOBIOOOBIIOOOOOOOOOBIOOBIOOOOOOOOOOOBIIOBIO
5509,안양지역 동화구연 연구회가 제2기 동화구연강좌를 마련한다.,BIOOOBIOOOBIIOOOOBOBIOOOOOOBIOOO
36224,"난 당간부를 따라 북으로 후퇴하란 명령을 받았소.""",OOBIOOOOOOBOOOBIOOOBIOOOOOOO
48391,"아냐 나두 했어,",OOOOOOOOO
19590,"최고회의의 이 같은 결정은 레오니트 크라프추크 대통령이 대의원들에게 STARTⅠ 비준을 촉구하면서 그렇지 않을 경우, 우크라이나가 국제적으로 고립될 것이라고 경고한 뒤 나온 것이다.",BIOOOOOOOOOBIOOBIIIOBIIIIOBIIOOBIIOOOOOOOOOOOBIOOBIOOOOOOOOOOOBIOOBIIIIOOBIOOOOBIOOOOOOOBIOOBOOOOOOOO
32462,국제 연합 분담금 국제 연합의 경비를 가맹국이 부담하는 금액.,OOOBIOBIIOOOOBIOOBIOOBIIOOBIOOOBIO
26178,"여자는 손이 크면 정말 보기 싫어.""",BIOOBOOOOOOOOOOOOOOO
22840,어~ 이제부터 여러분이 감상하실 영화는 피아노맨입니다.,OOOBIOOOOOOOOBIOOOBIOOBIIIOOOO
19430,"""야, 하필이면 왜 여자를 추천하냐? 난 현수를 추천할래.",OOOOOOOOOOOBIOOBIOOOOOOBIOOBIOOO
64212,차지하고 있다.,BIOOOOOO
31848,미안감을 갖지 않는 것은 아니었지만 그런것이 어디 대수로운 일인가.,BIIOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOBOOO
7431,맨마지막에 걸어 나오는 수혜를 돌아보며 정혜가 눈꼬리를 치켜 올렸다.,OBIIOOOOOOOOOBIOOOOOOOBIOOBIIOOOOOOOOO
64403,그리구 오른쪽두 한 번 해 볼까요?,OOOOBIIOOOOOOOOOOOO
1609,"내일 비 오면 안 되는데,",OOOBOOOOOOOOOO
42171,그러나 그린 벨트의 가치를 공기나 물처럼 경제적으로 환산하기 어려운 효과나 기능까지 감안한다면 가치가 막대한 것이다.,OOOOBIOBIOOBIOOBIOOBOOOBIOOOOBIOOOOOOOBIOOBIOOOBIOOOOBIOOOOOOOOOO
67197,"일종의 축제요, 숭고함이다.",BIOOBIOOOOOOOOO
68793,다른 다방이 또 있는 것도 아니니까 손님이 크게 떨어지고 어쩌고 할 것은 아니지 않겠는가.,OOOBIOOOOOOOOOOOOOOOBOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
5425,"""그런 소리 누구헌티 들었네? 그 급살맞일 과객이 그러담?""",OOOOBIOOOOOOOOOOOOOBIOOOBIOOOOOOO
41270,"""아저씨 ──!",OBIIOOOO
10201,오늘날 우리는 학교의 역사 교과서나 역사가들이 쓴 다양한 역사 서적을 통해 과거의 사건에 대한 지식을 얻는다.,BIOOOOOOBIOOBIOBIIOOBIIOOOOOOOOOBIOBIOOOOOBIOOBIOOOOOBIOOOOOO
28343,두 사람의 수작은 어쩐지 암호를 써가며 하는 수수께끼 같으나 누가 듣든지 반짐작은 할 것이다.,OOBIOOBIOOOOOOBIOOOOOOOOOBIIIOOOOOOOOOOOOBIOOOOOOOOO
10864,현대 사회 전체가 이 광고의 법칙에 의해서 움직이고 있지 않는가.,BIOBIOBIOOOOBIOOBIOOOOOOOOOOOOOOOOOO
37828,여러 가지 여건상 경월소주 지분을 인수하는 것이 유리했다는 주장이다.,OOOOOOBIOOBIIIOBIOOBIOOOOOOBIOOOOBIOOO
28541,"유복한 가정, 아름답고 전원적인 환경 속에서 시재를 마음껏 발휘할 수 있던 배릿의 소녀 시절은 행복했다.",OOOOBIOOOOOOOBIOOOBIOBOOOBIOOOOOOBIOOOOOOOBIOOBIOBIOOBIOOO
41364,"때로는 ""당신이 받는 돈이 우리가 낸 세금인데 무슨 말을 하는 것이냐.",OOOOOOOOOOOOBOOOOOOOOBIOOOOOOBOOOOOOOOO
49067,소희는 부모나 담임선생이 생각하듯이 장차의 현모양처로서 영특하고 얌전한 모범생만은 아니었다.,BIOOBIOOBIIIOOBIOOOOOOOOBIIIOOOOOOOOBIOOBIOOOOOOOOO
9542,그 다른 인류는 두 종류가 있었으며 결국은 모두 없어지고 말았다.,OOOOOBIOOOOBIOOOOOOOBIOOOOOOOOOOOOOO
43584,예를 들면 이런 거죠.,BOOOOOOOOOOO
21427,"""그것을 누구 코앞에 들이밀라고 허냐, 시방.",OOOOOOOOBIOOOOOOOOOOOOOOO
65625,배에서 뭐가 나올 거 같애.,BOOOOOOOOOOOOOO
72031,"살아선 죄인 취급을 받고, 죽어서는 성자聖者 대접을 받는 그 순서가 뒤바뀌었으면 좋겠다.",OOOOBIOBIOOOOOOOOOOOBIOOOBIOOOOOOOBIOOOOOOOOOOOOO
12157,충분한 관찰을 통해 주인새의 생활영역을 정확히 파악해야 한다.,OOOOBIOOOOOBIOOOBIOOOOOOOOBIOOOOOO
62728,품이는 웃음을 지었습니다.,BIOOBIOOOOOOOO
68209,"소비자물가는 일부 공공요금의 인하 등에 힘입어 상반기 중 2%대 중반의 상승률을 유지했지만 하반기에는 기업들이 쌓아둔 현금이 시설투자와 임금 인상 등을 통해 시중에 풀리고, 공공요금까지 인상될 가능성이 커 소비자물가 상승률은 3%대를 넘어설 것으로 보여 연간으로는 3.0%에 이를 것으로 전망됐다.",BIIOOOOBIOBIIIOOBIOOOOOOOOBIIOOOOOOOBIOOBIOOOBIOOOOBIIOOOBIOOOOOOOBIOOBIOOOOBIOBIOOOOOOOBIOOOOOOOBIIIOOOBIOOBIOOOOOBIIOOOBIOOOOOBOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOBIOOO
65840,민주당의 일부 중부권 출신 의원들은 盧후보의 이념적 성향에 동조할 수 없다고 공공연히 말해왔다.,BIIOOBIOBIOOBIOBIOOOOBIOOBIOOBIOOBIOOOOOOOOOOOOOBOOOO
66665,간에 커다란 종양이 생긴 어느 환자를 대상으로 그의 간을 70%정도 제거하는 수술을 했더니 절제하지 않은 부분이 점점 자라나 6개월 후에는 원래의 크기대로 원래의 기능을 다 하도록 재생되어 있었다.,BOOOOOOBIOOOOOOOOBIOOBIOOOOOOBOOOOOBIOBIOOOBIOOOOOOBIOOOOOOBIOOOOOOOOOOOOOBOOOBIOOBIOOOBIOOBIOOOOOOOOBIOOOOOOO
74935,그 여자가 아닌 다른 여자와는 아이를 만들지 않기 위해 남편이 수술까지 했으리라고는 상상하지 못했어.,OOBIOOOOOOOOBIOOOBIOOOOOOOOOOOOBIOOBIOOOOOOOOOOBIOOOOOOO
9602,"현재 토지개발공사가 공급하는 단독 택지는 분당에 4백 84필지, 일산에 7백 57필지, 평촌에 3백 19필지 등이며, 필지 면적은 분당이 52∼74평, 일산 59∼1백 13평, 평촌 62∼99평 등이다.",OOOBIIIIIOOBIOOOBIOBIOOBIOOOOOOOOOOOBIOOOOOOOOOOOBIOOOOOOOOOOOOOOOBIOBIOOBIOOOOOOOOOOBIOOOOOOOOOOOOBIOOOOOOOOOOOO
26144,"안 그러니? 영락없는 도나 리드냐.""",OOOOOOOOOOOOBIOBIOOO
6560,그러나 그는 74년에 발표한 장편 '보호주의자'로 이미 세계적 명성을 얻고 있었다.,OOOOOOOOOOOOBIOOBIOOBIIIIOOOOOOBIOOBIOOOOOOOOO
11167,새로운 도약을 위해서는 교육 개혁이 불가피하다는 요즘의 분위기에 비춰보면 시의적절한 주제인 셈이다.,OOOOBIOOOOOOOBIOBIOOOOOOOOOBIOOBIIOOOOOOOBIOOOOBIOOOOOO
2553,에.,OO
18815,"그런데 몇 해 전에 방학을 맞아 집에 갔을 때, 그 우물은 완전히 막혀 있었다.",OOOOOOBOBOOBIOOOOOBOOOOOBOOOOBIOOOOOOOOOOOOO
35593,이러한 계산패는 나중에 주판의 모태가 되고 계산의 기계화의 시초가 된다.,OOOOBIOOOBIOOBIOOBIOOOOOBIOOBIOOOBIOOOOO
69855,여행하면서 여러번 느끼는 것이지만 미술관은 바로 그 나라의 문화척도라는 것이다.,BIOOOOOOOOOOOOOOOOOBIIOOOOOOOBIOOBIOOOOOOOOO
62337,첫째 어머니는 이서방인 줄 알고 일어났으나 첫째 음성임에 대답도 하지 않고 도로 누워버렸다.,OOOBIIOOBIOOOOOOOOOOOOOOOOOBIOOOBIOOOOOOOOOOOOOOOOO
49750,"나 여기 서 있을게.""",OOOOOOOOOOOO
25582,"이:: 크림 포테이토를 굳이 쓸 거라면,",OOOOBIOBIIIOOOOOOOOOOO
56215,혜경이는 춘향전을 말할 때 웃어제끼던 그런 당찬 웃음을 터트렸다.,BIIOOBIIOOBOOBOOOOOOOOOOOOOBIOOOOOOO
44710,아저씨는 구둣끈을 매면서 명령을 했다.,BIIOOBIIOOOOOOBIOOOOO
25514,아내는 꼭 딸을 낳기로 결심한 사람처럼 보였다.,BIOOOOBOOOOOOBIOOBIOOOOOOO
34103,그 날 저녁 각기 자기집에 가서 아내를 설득하였습니다.,OOBOBIOOOOOOBOOOOOBIOOBIOOOOOO
71342,그러나 이 무덤은 철저히 도굴되고 파괴되어 그 형체를 알아보기 어려울 정도이다.,OOOOOOBIOOOOOOBIOOOBIOOOOOBIOOOOOOOOOOOBIOOO
40373,우리나라에서 상영되는 외화 가운데 미국 메이저 회사들의 직배 영화가 관객의 50% 이상을 동원한다.,BIIIOOOBIOOOBIOBIIOBIOBIIOBIOOOBIOBIOOBIOOOOOOBIOOBIOOO
6578,"안 올라왔어요 도서관에,",OOOOOOOOBIIOO
71787,분산을 구하라.,BIOOOOOO
27569,오종종한 키에 땀구멍이 큰 피부를 가진 이 여자는 취업난이 이렇게 무서운 줄 몰랐던 것이다.,OOOOOBOOBIIOOOOBIOOOOOOOBIOOBIOOOOOOOOOOOOOOOOOOOOO
69209,"아주심기를 할 자리에는 밑거름으로, 130평짜리 비닐 하우스 두 채를 기준으로 할 때에, 줄잡아 닭똥 두 톤 반과 복합비료 스무 포대쯤을 넣는다.",BIIIOOOOBIOOOBIIOOOOOOOOOOOBIOBIIOOOOOOBIOOOOOBOOOOOOOBIOOOBOBOOBIOOOOOOBIOOOOOOO
71573,노래를 다 듣고 난 탁선생은 무릎을 치면서 훌륭하다고 감탄을 연발했다.,BIOOOOOOOOOBIOOOBIOOOOOOOOOOOOBIOOBIOOO
26304,개에 관해서 쑤군거릴 때의 그 활기에 넘치던 표정은 이제 찾아볼 수가 없었다.,BOOOOOOOOOOOBOOOOBIOOOOOOBIOOOOOOOOOOOOOOOO
13103,"따라서 동북아시아의 기마민족은 상복(常服), 조복, 제복에 백의를 착용하였다.",OOOOBIIIIOOBIOOOOBIOOOOOOBIOOBIOOBIOOBIOOOO
42591,金의 출생지를 백두산밀영으로 조작 한다거나 항일투쟁 기록이 새겨져 있다는 이른바 「구호나무」 발굴사업을 벌이는 것도 마찬가지 맥락이다.,OOOBIIOOBIIOOOOOBIOOOOOOBIOOOBIOOOOOOOOOOOOOOBIIOOOOBIOOOOOOOOOOOBIIIOBIOOO
3990,"""이거…….""",OOOOOOO
50481,"허균은 스승 이달이 자신의 시를 평하여 근체시는 성당시(盛唐詩)와는 관계가 없지만, 고시는 남조(南朝)의 문장가인 안연지(顔延之)와 사령운(謝靈運)의 풍격이 있다고 하자 수긍하지 않는다.",BIOOBIOBIOOBIOOBOOBOOOBIIOOBIOOOOOOOOOBIOOOOOOOBIOOBIOOOOOOBIIOOBIIOOOOOOOBIIOOOOOOOBIOOOOOOOOOBIOOOOOOO
68989,빨리 빨리 끝내 놔야지.,OOOOOOBOOOOOO
49939,다른 어떤 일보다 소설 쓰는 일이 나를 즐겁게 했던 것이다.,OOOOOOBOOOBIOOOOBOOOOOOOOOOOOOOOO
33504,"지난 1분기는 매출 9조9300억원, 당기순이익 1조9000억원이었다.",OOOOBIOOBIOOOOOOOOOOOBIIOOOOOOOOOOOOOOO
33719,이하라는 매우 짧은 주기로 변동하고 있으며 매우 작은 천체가 X선원이라는 것을 보여 주고 있었다.,BIOOOOOOOOOBIOOBIOOOOOOOOOOOOOBIOOOBIOOOOOOOOOOOOOOOOO
69540,"자기가 오빠한테,",OOOOBIOOO
33689,"임상적으로 감별이 필요한 경우로는 실신, 심부정맥, 저혈당, 편두통, 공황 발작, 발작성 수면, 히스테리성 발작, 사병, 일과성 허혈 발작 등이 있으며 그 중 감별이 어려운 대표적인 경우는 실신, 일과성 허혈 발작 혹은 심인성 장애 등이다.",BIOOOOBIOOBIOOBIOOOBIOOBIOOOOOBIOOBIIOOBIOBIOOBIOOBIOOBIIIOOBIOOBIOOBIOOBIOBIOOOOOOOOOOOOBIOOOOOOBIOOOBIOOBIOOBIOOBIOBIOOOOBIOOBIOOOOO
39476,그러면 난의 '우량아'는 어떻게 선택해야 할까.,OOOOBOOOBIIOOOOOOOBIOOOOOO
36986,"뷰 포인트가 있는지를::,",BOBIIOOOOOOOOO
72859,5세기 중반경에 해당하는 것으로 길이가 210m나 되는 것이었다.,OBIOBIOOOBIOOOOOOOBIOOOOOOOOOOOOOOOO
53686,"""그건 당신 말이 백 번 옳아.",OOOOOOOBOOOOOOOOO
34719,"일기도 일기지만, 이건 항공사 측에서 너무 무성의하게 일을 처리한 게 아닌가요? 그리고 지금 내가 아는 호텔은 모두 차서 방이 없어요.",BIOOBIOOOOOOOBIIOOOOOOOOOBIOOOBOOBIOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOBOOOOOO
67241,오늘은 눈 딱 감고 현장 사무소를 찾아 들어가야 한다는 생각을 마음속에 다지면서 몸을 뒤척거렸다.,BIOOBOOOOOOBIOBIIOOOOOOOOOOOOOOBIOOBIIOOOOOOOBOOOOOOOO
51144,그들이 자기 쪽을 바라보기만 해도 턱이 덜덜 떨렸다.,OOOOOOOOOOOOOOOOOOOBOOOOOOOOO
74498,예컨대 조선왕조는 500년의 긴 시간 속에서 여러 사회변혁이 일어났고 건축은 이러한 변혁을 그 어떠한 형태로든 수용하는 것임을 생각할 때 왕조중심의 시대구분이 가지는 문제점을 알 수 있는 것이다.,OOOOBIOOOOOOOOOOOOBIOBOOOOOOBIOOOOOOOOOBIOOOOOOBIOOOOOOOOBIOOOBIOOOOOOOBIOOBOBIOOOOBIOOOOOOOOBIIOOOOOOOOOOOOO
59399,오늘 박지성 선수는 인제 오른쪽에서 주로 활약할 것 같네요.,OOOBIIOBIOOOOOBIIOOOOOOBIOOOOOOOO
50257,"앞에서 차가 오면은 항상 요기에 끼어드는 거에요,",BOOOBOOOOOOOOOOOOOOOOOOOOOO
8976,다만 성사가 안 될 경우에 대해 신경을 쓰기 때문에 쉬쉬하며 은밀히 교신이 되는 관계로 잘 드러나지 않는 특징이 있다.,OOOBIOOOOOOBIOOOOOBIOOOOOOOOOOOOOOOOOOBIOOOOOBIOOOOOOOOOOOOBIOOOOO
20616,닮았냐?,OOOO
26055,그래서 현대에 들어오면 미는 아예 완전히 주관화하기 시작한다.,OOOOBIOOOOOOOBOOOOOOOOOBIOOOOBIOOO
35940,"""왜 그러시죠? 이분이 경찰에 맞았다는 분인데…"" 간호원이 생긋 웃으며 말했다.",OOOOOOOOOOOOOBIOOOOOOOOOOOOOBIIOOOOOOOOOBOOO
46899,"오빠는 이미 죽은 것이니까 제사를 지내야 한다고, 우리가 앞에서 인용한 (B) 대목은 할머니가 결단을 보이는 대목에 해당된다.",BIOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOBOOOBIOOOOOOBIOOBIIOOBIOOOOOOBIOOBIOOO
72192,박완서는 어느 문학상을 심사하는 자리에서 신경숙의 소설을 두고 다음과 같은 평을 한 적이 있다.,BIIOOOOOBIIOOBIOOOBIOOOBIIOOBIOOOOOBIOOOOOBOOOOOOOOOO
13552,나를 만나러 온 사람은 낯선 젊은 여자였다.,OOOOOOOOOBIOOOOOOOOBIOOO
36147,바람의 강약도 조절해야 하고 바람을 좌우로 돌리기도 해야 하며 또 시간예약도 해야 한다.,BIOOBIOOBIOOOOOOBIOOBIOOOOOOOOOOOOOOOBIOOOOOOOOOO
49014,악몽과 같은 전쟁이 끝났다.,BIOOOOOBIOOOOOO
61717,누나들은 살짝살짝 눈짓을 하면서 이 노래에 귀를 기울였다.,BIOOOOOOOOBIOOOOOOOOBIOOBOOOOOOO
74526,한편 제천군 한수면 사기리에 위치한 창내 막집유적은 3～4명의 사람들이 당김돌을 이용해 약 10× 10m의 사냥용막집을 지었던 것이라 한다.,OOOBIIOBIIOBIIOOBIOOBIOBIOOOOOOOOOOBIOOOOOBOOBIOOOOOOOOOOOOOBBIOOOOOOOOOOOOOOO
2620,미래 사회에는 인간활동의 대부분이 컴퓨터를 매개로 하게 된다.,BIOBIOOOBIOOOOBIIOOBIIOOBIOOOOOOOO
64514,한참을 그대로 앉아 있던 그는 개의 몸을 두 손으로 들어올려 어깨에 둘러멨다.,BIOOOOOOOOOOOOOOOBOOBOOOOBOOOOOOOOBIOOOOOOO
53104,예를 들어서 GM은 「공공관계 분야의 발전에 관한 보고」(Report on Progress in Areas of Public Concern)라는 제목으로 작성한 보고서를 매 해년 발표하고 있다.,BOOOOOOOOOOBIIOOOBIOOBIOOOOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOBIOOBIIOOOOBIOBIOOOOOO
2179,그는 혁신적인 실천을 통하여 선종을 중심으로 한 교선의 통합을 시도하여 정혜쌍수(定慧雙修)를 주장하였다.,OOOBIOOOBIOOOOOOBIOOBIOOOOOBIOOBIOOBIOOOBIIIOOOOOOOOBIOOOO
31724,그녀의 그런 특성은 훗날 그녀가 학생대표로 당선되는 데 큰 영향을 미쳤다.,OOOOOOOBIOOBIOOOOOBIOOOOBIOOOOOOOBIOOOOOO
74033,너두 생각해 봐라.,OOOBIOOOOO
28180,"역사가 놓여지고 철로가 부설되는 동안에 할아버지의 물심양면의 노고는 이후로도 대단한 빈축거리가 되었지마는 일본인들을 감동시키기에 충분했고, 그 감동의 결과로 개통식 때 참석한 관리가 금송을 두그루 주었다.",BIOOOOOOOBIOOBIOOOBIOOBIIIOOBIIIOOBIOOBIOOOOOOOBIOOOOOOOOOOBIIOOOBIOOOOOOOOOOOOOBIOOBIOOBIIOBOBIOOBIOOBIOOOOOOOOOO
